author,category,datePublished,description,images,numberOfPages,price,sub_category,title
Tố Sơn,Sách Phát Triển Bản Thân,21/09/2019,"Thông tin tác giả    Erin Niimi Longhurst  Là nhà văn, blogger mang hai dòng máu Nhật – Anh.Tốt nghiệp Đại học Manchester với bằng Nhân chủng học Xã hội, hiện cô là chuyên viên tư vấn truyền thông xã hội và kỹ thuật số.Blog của cô, Island Bell, viết về ẩm thực, du lịch và lối sống    Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Japonisme – những điều Rất Nhật Bản là một cuốn sách mang đầy hơi thở của xứ sở hoa anh đào, là nguồn cảm hứng vô tận để bạn khám phá nghệ thuật kiếm tìm hạnh phúc, sự đủ đầy cho Kokoro (trái tim và tâm trí) lẫn Karada (thân thể) của mình.Với cuốn sách, bạn có thể tìm ra ikigai (mục đích) – thứ thôi thúc bạn rời khỏi giường vào mỗi sáng. Phát hiện vẻ đẹp của wabi-sabi – chấp nhận bản chất của sự vô thường, thoáng qua và trân trọng những điều không hoàn hảo. Hay tìm thấy vẻ đẹp trong sự tan vỡ, thông qua nghệ thuật kintsugi.Mỗi triết lý, mỗi nghệ thuật đều là những lăng kính mới để bạn có thể nhìn vào mọi thứ.Để rồi từ đó, tìm thấy sự bình yên trong tâm trí, giữa cuộc sống đầy bất định và hỗn độn này.Mời bạn đón đọc.",full/d13995111f127acf5ac0217dd0ec6cc7ec7a729c.jpg,280.0,149.000,Sách học làm người,Japonisme - Những Điều Rất Nhật Bản
Thanh Huyền,Sách Thường Thức – Đời Sống,21/09/2019,"Thông tin tác giả    Alice Abbiati     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Alice Rosati     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nếu dành tình yêu bất tận cho nước Ý và đặc biệt là kinh đô thời trang Milan, cuốn sách này chính là một cẩm nang du ký trực diện nhất về vẻ đẹp, phong cách thời trang và văn hóa nơi đây.Bạn yêu thích thể loại du ký, hay chỉ đơn giản yêu cái đẹp xứ sở Milan ?Cuốn sách được chắp bút bởi 2 biên tập viên kỳ cựu của những tạp chí dành cho phụ nữ hàng đầu nước Ý như: Glamour.it và VanityFair.it. Trong suốt quá trình làm việc, 2 nữ tác giả đã đúc rút được vô số kinh nghiệm làm đẹp, ăn mặc cũng như những địa chỉ uy tín mà các cô gái Milan thường xuyên ghé thăm. Bên cạnh đó, một cuốn sách du ký chất lượng không thể không nhắc đến khía cạnh văn hóa của đất nước ấy: từ việc đi đâu, ăn gì cho đến văn hóa thường thức của một quý cô Milan sẽ được trình bày rốt ráo trong cuốn sách này.Một phần rất nhỏ trong cuốn sách nhưng không kém phần quan trọng:Chính là bí mật về người đàn ông Milan! Có cô gái nào mà không quan tâm đến một người đàn ông Milan hào hoa, quyến rũ cơ chứ? Nhưng đừng dễ dàng để mắc vào lưới của anh chàng hào hoa này đấy nhé! 2 tác giả của chúng ta sẽ bật mí cho bạn biết những điều bạn chưa bao giờ được nghe về người đàn ông Milan!Mời bạn đón đọc.",full/8b0976497c1916b047a834ba3beecb6c5595f79b.jpg,192.0,129.000,Bí quyết làm đẹp,"Milan Thời Thượng - Sống, Yêu Và Tận Hưởng"
Jen,Sách Phát Triển Bản Thân,21/09/2019,"Thông tin tác giả    Jennifer L. Scott 
                                                                                                                                            Jennifer L. Scott là một nhà văn và là tác giả của trang The Daily Connoisseur (www.dailyconnoisseur.com). Cô hiện sống ở Santa Monica, California cùng người chồng kỳ quặc, hai cô con gái đáng yêu và một chú chó Chihuahua thật đặc biệt. 20 bí mật sành điệu từ Madame Chic là cuốn sách ...
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sau thành công của 20 Bí mật sành điệu từ Madame Chic và At home with Madame Chic – Thanh lịch từ những khoảnh khoắc đời thường, Jennifer quay lại với bạn đọc bằng Madame Chic – Rất thần thái, Rất Paris.Trong cuốn sách mới nhất của series về Madame Chic này, Jennifer tiết lộ sức mạnh của thần thái, cách chăm sóc dung mạo và chuẩn mực hành xử có thần thái với bản thân và mọi người xung quanh trong cuộc sống: làm sao để trang điểm tự nhiên mà vẫn lịch sự; làm thế nào để có dáng điệu thanh thoát và bước đi uyển chuyển, nhẹ nhàng; làm thế nào để mỗi cuộc trò chuyện đều có được không khí thoải mái và vui tươi; và làm thế nào để mỗi ngày bạn đều là bạn trong phiên-bản-thần-thái-nhất…Bạn không cần phải dùng hàng hiệu và cư xử sang chảnh để trở nên có thần thái. Thần thái nằm trong sự lựa chọn mỗi ngày của mỗi chúng ta. Từng khoảnh khắc của mỗi ngày sẽ là một thử thách. Bạn sẽ phải chất vấn bản thân trước mỗi ngả đường và phải luôn nỗ lực vươn tới lựa chọn tốt nhất. Bạn sẽ trải qua rất nhiều lần thất bại và có thể sẽ chẳng bao giờ hoàn hảo. Nhưng bạn đã theo đuổi những điều tốt đẹp, và đến cuối cùng, bạn sẽ sống một cuộc đời viên mãn đủ đầy.“Không quan trọng cuộc đời trước kia của bạn thế nào. Không quan trọng bạn đã lớn lên ra sao. Không quan trọng bạn hành xử kiểu gì vào ngày hôm qua, hay thậm chí là chỉ một giờ trước. Không quan trọng gia đình bạn là những người như thế nào. Không quan trọng nếu bạn bè bạn không quan tâm đến việc này. Không quan trọng dù gia đình bạn không hiểu bạn.Quan trọng là tất cả chúng ta đều có khả năng thay đổi và biến-đổi.”Mời bạn đón đọc.",full/38a8e3bca7b4baeb70c081aea4a28bbbbf226c1b.jpg,256.0,99.000,Sách học làm người,"Madame Chic - Rất Thần Thái, Rất Paris"
Dương Thanh Trà,Sách Phát Triển Bản Thân,21/09/2019,"Thông tin tác giả    Rachel Hollis     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Rachel Hollis - Tác giả có sách bán chạy nhất New York Times, đồng thời là nhân vật nổi tiếng trên truyền hình, diễn giả truyền cảm hứng và người dẫn chương trình. Ngoài vai trò làm mẹ của bốn đứa con, cô còn là người sáng lập trang web phong cách sống TheChicSite.com, kiêm Giám đốc điều hành của công ty truyền thông do chính cô thành lập.“Đừng xin lỗi nữa” là cuốn sách đình đám, trở thành hiện tượng toàn nước Mỹ vì đã mở ra một kỷ nguyên mới cho phụ nữ. Bằng những lập luận thuyết phục cùng kiến thức tâm lý học ứng dụng, “Đừng xin lỗi nữa” sẽ phân tích cho bạn những lý do tại sao chúng ta vẫn còn mắc kẹt trong những vòng luẩn quẩn, những cản trở để đạt được ước mơ.Đồng thời, tác giả còn đưa ra những hướng tư duy mới mẻ để giải quyết các vấn đề, từng bước tháo bỏ những quan điểm sai lầm cũ kỹ, giúp bạn tìm thấy bản thân thông qua các tình huống ứng xử hàng ngày và sống một cuộc đời tự tin hơn, hạnh phúc hơn khi được là chính mình.“Đôi khi chúng ta chẳng có gì sai!”, đã đến lúc đặt lời xin lỗi quen thuộc xuống và bắt đầu hành trình sống một cuộc đời đáng sống rồi bạn ơi!Mời bạn đón đọc.",full/1032bf1b9f89d1e03d3ea96b6e8e3459f1b6d8d5.jpg,280.0,99.000,Sách học làm người,Đừng Xin Lỗi Nữa
Phương Nguyễn,Sách Phát Triển Bản Thân,21/09/2019,"Thông tin tác giả    Elaine N. Aron     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “NHẠY CẢM” KHÔNG PHẢI LÀ CÁI TỘI!Bạn là người có đời sống nội tâm phức tạp?Đôi khi bạn cảm thấy dường như không ai hiểu được mình?Bạn cũng là kiểu người thường để ý đến cái nhìn của người khác?Luôn cố gắng làm mọi thứ thật tốt, nhưng cũng vì vậy mà khiến bản thân không vui?Vậy rất có thể bạn là kiểu người CỰC KỲ NHẠY CẢM (Highly Sensitive Person), và có đến 15-20% dân số thế giới là người giống bạn cơ, nên đừng lo, cũng đừng sợ, bạn không phải KẺ KỲ LẠ DUY NHẤT.Người nhạy cảm được sinh ra với những xúc cảm tinh tế và mãnh liệt hơn người khác: dễ khóc, dễ cười, dễ đồng cảm với người khác, đôi khi thích thu mình, đôi khi lại muốn hòa nhập cùng mọi người, suy nghĩ về nhiều thứ, dễ cảm thấy lạc lõng, chỉ một kích thích nhỏ cũng khiến tinh thần bất ổn…Bạn sở hữu nhiều ưu điểm vượt trội nhưng cũng gặp nhiều khó khăn trong cuộc sống thường ngày, nhất là việc kiểm soát cảm xúc. Cũng bởi vậy mà đôi khi người cực kì nhạy cảm (HSP) trở thành những kẻ lập dị trong mắt mọi người, dễ bị người khác hiểu nhầm là kiểu người thái quá, giả tạo, và bị số đông xa lánh.“Người nhạy cảm – món quà hay lời nguyền” là CUỐN SÁCH ĐẦU TIÊN CÔNG NHẬN GIÁ TRỊ CỦA SỰ NHẠY CẢM và xem đó như một điều thiết yếu cho xã hội. Cuốn sách sẽ cho bạn thấy:Bạn không phải kẻ lập dị, càng không phải giả tạo. Bạn đơn chỉ là một người nhạy cảmThấu hiểu để đồng cảm với bản thân nhiều hơnBạn khác biệt nhưng bạn có giá trị của riêng mình“Người nhạy cảm – món quà hay lời nguyền” với tên gốc Highly Sensitive Person đã:Tiêu thụ hàng triệu bản trên khắp thế giới, có mặt tại hàng chục quốc gia, trở thành INTERNATONAL BESTSELLER.Mang lại thành công vang dội cho tác giả - tiến sĩ Elaine N Aron với những giải thưởng, sự ghi nhận danh giáMột trong số ít những cuốn sách được nhiều người nổi tiếng trên thế giới đặc biệt đánh giá cao như tác giả John Gray, Riane Eisler, ca sĩ kiêm nhạc sĩ đình đám Alanis Morissette…Ai cũng mang trong mình những giá trị khác biệt từ khi sinh ra và điều đó tạo nên màu sắc cho thế giới này.Vậy nhạy cảm là món quà hay lời nguyền? Chắc bạn cũng đã có câu trả lời cho riêng mình rồi.Mời bạn đón đọc.",full/5ee5614a8b80dc331f1cbe66d5e9216c876e2ffd.jpg,384.0,98.000,Sách học làm người,Người Nhạy Cảm - Món Quà Hay Lời Nguyền?
Nam Lâm,Sách Phát Triển Bản Thân,02/10/2019,"Thông tin tác giả    Nam Lâm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mất hàng triệu năm để con người phát minh ra chữ viết, hàng ngàn năm tạo ra sách vở, hơn một trăm năm tiến đến truyền thanh, vài chục năm làm chủ truyền hình. Thế nhưng, chỉ mất chưa đầy một thập niên, chúng ta bước vào kỷ nguyên bùng nổ thông tin. Thế giới mạng đã thay đổi toàn diện cách chúng ta sống, giao tiếp, học hành và làm việc.Sống ảo, ảo bao nhiêu cho vừa? là bức tranh chi tiết về thời đại Internet. Thấu hiểu vấn đề của người trẻ, nắm bắt tâm lý của con người hiện đại, đưa ra các gợi ý để mỗi chúng ta xác định lại chân dung bản thân giữa thế giới phẳng đầy biến động.“Mỗi người chúng ta dù ở thời đại nào, suy cho cùng, vẫn có nhu cầu căn bản nhất: Được thấu hiểu và yêu thương. Để được như thế, chúng ta chỉ có một cách là dành thời giờ bên nhau, lắng nghe nhau. So với thời chưa có Internet, chúng ta đối diện ít hơn hay nhiều hơn các vấn đề? Chúng ta có hạnh phúc hơn không? Mọi ứng cứu đến từ bên ngoài đều vô nghĩa nếu không đi cùng sự biến chuyển bên trong của mỗi cá nhân. Sống ảo, ảo bao nhiêu cho vừa? là một cuốn sách để chúng ta cùng đọc, cùng suy nghĩ và cùng trả lời những câu hỏi của ngày hôm nay.”      - Nhà văn Dương Thụy, tác giả Oxford thương yêu“ ‘Không theo đuổi đam mê’, ‘đừng tin vào chân lý’  là hai trong số rất nhiều lời chia sẻ của Sống ảo, ảo bao nhiêu cho vừa? Như một cốc cà phê, đủ ngọt để tin, đủ đắng để nhìn ra sự thật và phản biện lại chính những điều mà cuốn sách nêu ra. Và quan trọng nhất, là đủ caffeine để một người đọc trẻ tuổi buông sách xuống và lên kế hoạch đổi thay.”      - Pgs.Ts Nguyễn Phương Mai, Đại học Khoa Hoc Ứng dụng Amsterdam, Hà Lan. Tác giả Tôi là một con lừa và Con đường Hồi giáoMời bạn đón đọc.",full/9fb123f65061a8bd8ca2b05ab262e263bbbfa52f.jpg,212.0,79.000,Sách học làm người,"Sống Ảo, Ảo Bao Nhiêu Cho Vừa?"
Lam Anh,Sách Phát Triển Bản Thân,12/10/2019,"Thông tin tác giả    M.D. Wilhelm Stekel 
                                                                                                                                            Wilhelm Stekel (1868 – 1940)Bác sĩ, nhà phân tâm học người Áo. Sau khi tốt nghiệp trường tiếng Đức tại Czernowitz, Stekel theo học ngành y học tại Vienna. Ông trở thành một trong những người đi theo lí thuyết của Sigmund Freud sớm nhất, và từng được nhắc đến như là ""học trò ...
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Ra vậy, chúng ta đều tự yêu chính mình quá đỗi”Bạn có một cái Tôi, nhưng không hiểu vì sao mình có cái Tôi này, không biết ứng xử với nó ra sao.Chúng ta đều là những kẻ tự si mê bản thân. Cùng lúc gần như không biết cách yêu bản thân thế nào. Càng yêu, càng không thể hiểu chính mình.Thế giới bên ngoài chỉ là một hình ảnh phản chiếu đời sống bên trong của chúng ta, chúng ta chỉ nhận thức được những gì mà cái Tôi trong ta chạm tới.Ta khó chịu với một kẻ biếm nhạo những tính cách xấu của mình và cho rằng kẻ đó không biết cảm thông. Ta ghét tất cả những kẻ sao chép một phần khó chịu trong tâm hồn mình.Chúng ta cứ mãi lang thang trong cuộc đời với muôn vàn mảnh trái tim tan vỡ, từ nỗi tự si này đến lòng yêu ghét kia, từ chứng hoang tưởng tự đại này đến sự nhút nhát tự ti kia.Dù say mê bản thân đến vậy, nhưng luôn cảm thấy mình bất toàn, hoài nghi, phản kháng, ganh tị, bất mãn, thường xuyên không hiểu ý nghĩa đời mình, cũng chẳng biết nên đi về đâu.Cuốn sách này dành cho những người mang một ý nguyện rực sáng: Nguyện ý đổi thay.Sự quyến rũ mạnh mẽ nhất của cuộc đời nằm trong sự thay đổi. Bạn sẽ trì trệ ở yên trong những vụn vỡ dở dang? Hay sẽ tự chữa lành cho chính mình? Sự lãng phí của hôm nay luôn là điều hối tiếc của ngày mai. Chúng ta cần phải vượt qua bản thân mỗi ngày. Bất cứ phương pháp trị liệu tâm lí nào cũng chỉ là một sự trợ giúp bên ngoài. Bạn hãy học hỏi từ những trải nghiệm của mình và truy nguyên một cách trung thực những động lực của bản thân. Ý nguyện của bạn quan trọng hơn hết thảy.Cuốn sách sẽ là một chỉ dẫn tuyệt vời dành cho bạn để:- Hiểu rõ muôn mặt của một tâm hồn vị kỉ khổ đau, tổn thương và tan vỡ.- Vượt qua cái Tôi vị kỉ để có một cái nhìn thực tế với cuộc đời và tìm thấy mục tiêu cuộc sống.Dù mục tiêu ấy xa tít tận mặt trời, thì nguyện ý của bạn cũng sẽ tìm ra con đường để đi tới. Bạn sẽ phát hiện ra: Mặt trời ấy ở trong chính bạn, trongMỘT BẢN THỂ VẸN TOÀN ĐƯỢC YÊU THƯƠNG VÀ BIẾT YÊU THƯƠNGĐỀ XUẤT CỦA BIÊN TẬP“Một tia sáng nhỏ thậm chí cũng thắp sáng cả màn đêm”Cuốn sách dành cho những ai chưa hiểu rõ chính mình.Dành cho những ai đang rơi vào huyễn tưởng của cái Tôi.Dành cho những tâm hồn lạc lối, đơn côi và không trốn về.Bạn hiểu gì về mình phụ thuộc vào việc bạn muốn hiểu về mình đến đâu.Cuốn sách cũng dành cho những người thật sự muốn tự chữa lành và thật sự cần đến: - Một chỉ dẫn bao quát nhưng không kém phần cụ thể với những lí giải gọn ghẽ, sắc bén;- Một sự giúp đỡ tích cực với những lời chân thật tuy đớn đau nhưng cũng đầy sự khích lệ;- Một thôi thúc mạnh mẽ và không thể chối bỏ, buộc ta phải đối diện với chính mình.Bạn có thể vượt thoát bóng tối của cái Tôi vị kỉ hay không, tùy thuộc vào việc bạn có muốn vượt thoát nó hay không.Chắc hẳn bạn đã có không ít những trải nghiệm đau thương từ cuộc đời, cũng vật vã không ít trong thế giới chật hẹp của cái Tôi đầy vị kỉ. Nhưng giờ bạn đang cầm cuốn sách này trên tay, và vẫn đang tự vấn chính mình về con đường phía trước. Đừng sợ hãi nữa, bởi cuốn sách này sẽ giúp bạn biết được đâu là con đường bạn cần đi, và cần phải bắt đầu từ đâu. Hãy đọc đi và nghiền ngẫm nó, cuốn sách chứa đựng những câu trả lời bạn vẫn luôn tìm kiếm.Bởi trong cuộc đời, những vướng rối rồi cũng đến lúc được tháo gỡ, những tổn thương đều sẽ được chữa lành. Bạn sẽ tìm thấy chính mình trọn vẹn, được yêu thương và biết yêu thương.Mời bạn đón đọc.",full/d719c60f3e608c830e20415f576aade28936f8ab.jpg,328.0,95.000,Sách học làm người,Cái Tôi Được Yêu Thương
Văn Thị Mỹ Nữ,Sách Phát Triển Bản Thân,24/09/2019,"Thông tin tác giả    Shion Kabasawa     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hẳn là rất nhiều lần trong đời sống, chúng ta rơi vào tình trạng “điên đầu”: quá nhiều thứ phải nghĩ, quá nhiều thứ cần nhớ nhưng… quên. Bao nhiêu là thông tin, công việc cần giải quyết, thế nhưng trí nhớ lẫn sự minh mẫn đều “phản chủ”. Phải làm sao đây?Thói quen rèn luyện trí não để không bao giờ phạm sai lầm sẽ cung cấp cho người đọc những phương pháp tuyệt vời để sử dụng bộ não một cách hiệu quả. Bạn sẽ được hiểu về cách thức vận hành của não, nắm bắt được khoảng thời gian não thông suốt, và cả những phương pháp khoa học giúp bạn có một cuộc sống tỉnh táo, năng suất.-----“Tôi tin rằng Thói quen rèn luyện trí não để không bao giờ phạm sai lầm sẽ trở thành một cuốn sách mang tính sáng tạo và cách mạng giúp loại bỏ những sai lầm, hoàn toàn khác biệt với những cuốn sách liên quan cùng chủ đề từ trước đến nay.Tất cả những gì bạn phải làm là rèn luyện não bộ từng bước để có ‘thói quen của những người không mắc lỗi’ và biến nó thành thói quen của chính bạn” - Shion KabasawaMời bạn đón đọc.",full/ab29950281d4446b01d3b18fe1d54d9397c1b11d.jpg,232.0,98.000,Sách học làm người,Thói Quen Rèn Luyện Trí Não Để Không Bao Giờ Phạm Sai Lầm
Phan Văn Trường,Sách Phát Triển Bản Thân,26/09/2019,"Thông tin tác giả    Phan Văn Trường     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hai cuốn sách trước của GS. Phan Văn Trường, “Một Đời Thương Thuyết” và “Một Đời Quản Trị”, là sự chắt lọc từ những trải nghiệm trong suốt nhiều năm tháng nghề nghiệp của bản thân. Tuy nhiên, đến với cuốn sách này, tác giả lại muốn dành một khoảng không gian riêng để có thể phản ảnh những cảm nhận cá nhân về cuộc sống, với góc nhìn từ những năm tháng tuổi trẻ cho đến độ tuổi xế chiều này.Khoảnh khắc khó chịu nhất có lẽ là khi mình đã lỡ chọn một hướng đi, nhưng ngộ được rằng con đường này nhiều chông gai, lắm rào cản và lại còn không phù hợp. Trong lòng, lúc ấy chỉ muốn được quay trở lại để bắt đầu, để lựa chọn lại một hướng khôn ngoan hơn. Việc lựa chọn tất nhiên đòi hỏi nhiều sáng suốt, nhưng trên hết người lựa chọn phải hiểu rõ thế giới mà mình đang sống và biết rõ chính mình muốn gì, và một mặt khác phải sẵn sàng cáng đáng lấy trách nhiệm trong sự lựa chọn. Nói một cách hoa mỹ hơn, mình chỉ tìm ra hướng đi đúng đắn và phù hợp cho bản thân nếu thấu hiểu rõ bản năng, bản ngã và cả tiềm thức của chính mình. Cùng một tinh thần luôn sẵn sàng đối mặt với những hệ quả tốt và xấu từ sự lựa chọn ấy.Mời bạn đón đọc.",full/79122f358aca170c86185e00ed6f96d6a65725e0.jpg,416.0,175.000,Sách học làm người,Một Đời Như Kẻ Tìm Đường
Lê Giang,Sách Phát Triển Bản Thân,24/09/2019,"Thông tin tác giả    La Cận Nguyệt     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     VÌ SAO PHỤ NỮ TỐT THƯỜNG CHỌN ĐÀN ÔNG TỒI?Dù bạn rất tốt nhưng chẳng bao giờ gặp may mắn trong tình yêu. Dù bạn đã hy sinh hết lòng hết dạ thì những gì bạn nhận lại vẫn chỉ toàn cay đắng…Nhưng liệu có phải những va vấp đến với đàn bà tốt đều do số phận trêu ngươi? Không hề! Hạnh phúc hay không chính là do chọn lựa của bạn.“Đã hy sinh còn đòi đền đáp” - Cuốn sách đã chỉ ra cho hàng triệu phụ nữ hiểu rằng, vì sao phụ nữ tốt lại thường có xu hướng lựa chọn đàn ông tồi.“Em lấy anh mà chẳng hề tư lợi điều gì.”“Sai lầm rõ ràng như thế mà anh không nhìn ra sao?” “Dù anh có trở nên tồi tệ đến đâu thì em cũng sẽ không rời bỏ anh.”Đây chính là những câu nói đã ăn sâu vào tư tưởng của những người phụ nữ tốt, là kim chỉ nam cho hành động và giúp họ thoả mãn nhu cầu tâm lý khao khát được “hy sinh "".Với những phân tích tâm lý sâu sắc của một chuyên gia tư vấn tâm lý về hôn nhân gia đình nhưng được thể hiện qua lối viết giản dị và dễ hiểu, “Đã hy sinh còn đòi đền đáp"" sẽ khiến bạn thay đổi những quan điểm đã trở thành lối mòn trong tiềm thức của phụ nữ Á Đông:“Hy sinh” là đức tính thiêng liêng của phụ nữ ư? Bạn nhầm rồi! Biết yêu thương bản thân mới là chìa khóa để mở ra cánh cửa hạnh phúc.Tất cả những mối quan hệ thân mật đều phản chiếu mối quan hệ của bạn với chính mình. Vậy nên biện pháp để duy trì một mối quan hệ chính là chăm sóc tốt cho bản thân.Sống vì người khác sẽ chẳng bao giờ khiến họ hài lòng đâu.Khi bạn tìm thấy mình thì tình yêu mới tìm thấy bạn.“Đã hy sinh còn đòi đền đáp"" sẽ giúp bạn độc lập trong tình yêu và tìm thấy một người hiểu mình. Mong rằng bạn sẽ yêu người đáng được yêu và sống một cuộc đời như tranh vẽ, nét đậm nét nhạt đều tự bản thân mình vẽ nên!“Đã hy sinh còn đòi đền đáp” – cuốn sách khiến phụ nữ KHÔNG BAO GIỜ phải nhận về hai chữ HY SINH. Mời bạn đón đọc.",full/7d554716300011979dd4e1aef8467b667b904b6a.jpg,280.0,89.000,Sách học làm người,Đã Hy Sinh Còn Đòi Đền Đáp
